name,url,category,brand,price,old_price,discount,image_url,scraped_at
Máy in HP LaserJet M211dw (9YF83A),https://cellphones.com.vn/may-in-hp-laserjet-m211dw-9yf83a.html,may_in,HP,3890000,4090000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-in-hp-laserjet-m211dw-9yf83a.png,2026-07-14T22:24:28.727679
"Máy in laser Canon MF3010 đa chức năng (in, scan, copy)",https://cellphones.com.vn/may-in-laser-canon-mf3010-da-chuc-nang.html,may_in,Unknown,4490000,5590000,"Giảm 
20%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_288_1_4.png,2026-07-14T22:24:30.328690
"Máy in phun màu Canon G3010 đa chức năng (in, scan, copy)",https://cellphones.com.vn/may-in-phun-mau-canon-g3010-da-chuc-nang.html,may_in,Unknown,4690000,5490000,"Giảm 
15%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_288_1_8.png,2026-07-14T22:24:30.397477
"Máy in phun màu Brother DCP-T730DW Đa chức năng (In, Scan, Copy)",https://cellphones.com.vn/may-in-phun-mau-brother-dcp-t730dw-da-chuc-nang.html,may_in,Unknown,5690000,5990000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_294_2_.png,2026-07-14T22:24:30.480447
"Máy in phun màu Brother DCP-T430W Đa Chức Năng (In, Scan, Copy)",https://cellphones.com.vn/may-in-phun-mau-brother-dcp-t430w-da-chuc-nang.html,may_in,Unknown,3690000,3990000,"Giảm 
8%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_302_1_.png,2026-07-14T22:24:30.554420
Máy in laser màu Brother HL-L3240CDW,https://cellphones.com.vn/may-in-laser-mau-brother-hl-3240cdw.html,may_in,Unknown,7790000,7990000,"Giảm 
3%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_302_1__2.png,2026-07-14T22:24:30.629482
"Máy in phun màu HP TANK 670 đa chức năng (In, Scan, Copy)",https://cellphones.com.vn/may-in-phun-mau-hp-tank-670.html,may_in,HP,4890000,5090000,"Giảm 
4%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_294_1_4.png,2026-07-14T22:24:30.718973
Mực in Laser Brother TNB027,https://cellphones.com.vn/muc-in-laser-brother-tnb027.html,may_in,Unknown,259000,270000,"Giảm 
4%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_-_2024-03-25t231403.747.png,2026-07-14T22:24:30.800685
Mực in laser Brother TN-2385,https://cellphones.com.vn/muc-in-laser-brother-tn-2385.html,may_in,Unknown,579000,590000,"Giảm 
2%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/1/_/1_74_58.jpg,2026-07-14T22:24:30.874081
Máy in Laser Brother MFC-B7810DW,https://cellphones.com.vn/may-in-laser-brother-mfc-b7810dw.html,may_in,Unknown,6890000,7090000,"Giảm 
3%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-in-laser-brother-mfc-b7810dw-thumbnails.png,2026-07-14T22:24:30.951171
Máy in Laser Brother HL-B2100D,https://cellphones.com.vn/may-in-laser-brother-hl-b2100d.html,may_in,Unknown,3690000,3790000,"Giảm 
3%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_294_2__1.png,2026-07-14T22:24:31.024539
"Máy in phun màu Brother DCP-T230 Đa Chức Năng (In, Scan, Copy)",https://cellphones.com.vn/may-in-brother-dcp-t230.html,may_in,Unknown,3250000,3350000,"Giảm 
3%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_302_5.png,2026-07-14T22:24:31.112397
Mực in Laser HP W1360A,https://cellphones.com.vn/muc-in-laser-hp-w1360a.html,may_in,HP,1590000,1790000,"Giảm 
11%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/v/e/vempfhiogqqe_fp5ix0s1ydctkbczdlj.png,2026-07-14T22:24:31.183325
Máy in HP Laser MFP 136A Đa Chức Năng 4ZB85A,https://cellphones.com.vn/may-in-hp-laser-mfp-136a-da-chuc-nang-4zb85a.html,may_in,HP,3790000,4290000,"Giảm 
12%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_266_3_5.png,2026-07-14T22:24:31.258310
"Máy in phun màu HP Tank 720 đa chức năng (In, Scan, Copy)",https://cellphones.com.vn/may-in-phun-mau-hp-tank-720.html,may_in,HP,5790000,5990000,"Giảm 
3%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_294_1_3.png,2026-07-14T22:24:31.335688
Máy in HP Color Laser 150NW 4ZB95A,https://cellphones.com.vn/may-in-hp-color-laser-150nw.html,may_in,HP,7390000,7590000,"Giảm 
3%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-in-hp-color-laser-150nw.png,2026-07-14T22:24:31.418082
Mực in laser HP 110A W1112A,https://cellphones.com.vn/muc-in-laser-hp-110a-w1112a.html,may_in,HP,1490000,2090000,"Giảm 
29%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_300_6.png,2026-07-14T22:24:31.492301
