parent_id,parent_name,product_id,name,sku,color,price,special_price,final_price,discount_percent,stock,thumbnail,image_url
121044,Laptop MSI Modern 14 F13MG-466VN V2,121049,Laptop MSI Modern 14 F13MG-466VN V2-Bạc,LAP-MSI-14-F13MG-466VN-V2-I5-1334U-BA,Bạc,18990000,15990000,15990000,15.8,0,/t/e/text_ng_n_3__7_258_3.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_3__7_258_3.png
121604,Laptop Dell 15 DC15250 1XVHG V2 - Nhập khẩu chính hãng,121605,Laptop Dell 15 DC15250 1XVHG V2 - Nhập khẩu chính hãng-Đen,LAP-DELL-15-DC15250-1XVHG-V2-I5-1334U-DN,Đen,21990000,20490000,20490000,6.82,649,/t/e/text_ng_n_2__10_104_4_3.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_104_4_3.png
104186,Laptop Lenovo IdeaPad Slim 5 OLED 14AKP10 83HX001JVN,104187,Laptop Lenovo IdeaPad Slim 5 14AKP10 83HX001JVN-Xám,LAP-LEN-SLIM5-14AKP10-83HX001JVN-AI7-350-XA,Xám,31490000,28490000,28490000,9.53,0,/t/e/text_ng_n_11__7_28.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_11__7_28.png
126330,Laptop HP 250R G9 C40LHAT,126331,Laptop HP 250R G9 C40LHAT-Bạc/Đen,LAP-HP-250R-G9-C40LHAT-C3-100U-BA,Bạc/Đen,15990000,14790000,14790000,7.5,54,/s/s/ssss_2_110.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_2_110.png
95036,Laptop Acer Swift 14 AI SF14-51-75VP,95038,Laptop Acer Swift 14 AI SF14-51-75VP-Xanh,LAP-ACER-SF14-51-75VP-NXJ2KSV001-U7-258V-XD,Xanh,39990000,37690000,37690000,5.75,2,/t/e/text_ng_n_1__7_22.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__7_22.png
100664,Laptop HP 250 G9 AG2K7AT,100666,Laptop HP 250 G9 AG2K7AT-Bạc,LAP-HP-250-G9-AG2K7AT-I5-1235U-BA,Bạc,19190000,18790000,18790000,2.08,25,/p/h/photo_2025-02-18_11-36-08_2__1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2025-02-18_11-36-08_2__1.jpg
134467,Laptop HP OmniBook X Flip 14-FM0086TU BZ7Q0PA,134468,Laptop HP OmniBook X Flip 14-FM0086TU BZ7Q0PA-Xanh,LAP-HP-14-FM0086TU-BZ7Q0PA-U5-226V-XA,Xanh,33990000,32190000,32190000,5.3,14,/x/_/x_m_2_123.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/_/x_m_2_123.png
119217,Laptop HP 14-EP1178TU C89ZRPA,119218,Laptop HP 14-EP1178TU C89ZRPA-Bạc,LAP-HP-14-EP1178TU-C89ZRPA-CORE5-120U-BA,Bạc,21990000,20990000,20990000,4.55,77,/s/s/ssss_1_93.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_93.png
102605,Laptop HP Victus 16-S0136AX 9Q984PA,102609,Laptop HP Victus 16-S0136AX 9Q984PA-Bạc,LAP-HP-16-S0136AX-9Q984PA-R5-7640HS-BA,Bạc,28990000,19990000,19990000,31.05,0,/t/e/text_ng_n_5__8_104.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_5__8_104.png
127752,Laptop Lenovo ThinkBook 14 G9 IRL 21UY008TVN,127753,Laptop Lenovo ThinkBook 14 G9 IRL 21UY008TVN-Xám,LAP-LEN-14-G9-IRL-21UY008TVN-I5-13420H-XA,Xám,28990000,27290000,27290000,5.86,3,/s/s/ssss_2__1_91.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_2__1_91.png
