parent_id,parent_name,product_id,name,sku,color,price,special_price,final_price,discount_percent,stock,thumbnail,image_url
116195,Sony Xperia 10 VII 8GB 128GB,118048,Sony Xperia 10 VII 8GB 128GB-Đen,SON-10VII-8GB-128GB-DN,Đen,13490000,9990000,9990000,25.95,22,/s/o/sony-xperia-10-vii-1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/o/sony-xperia-10-vii-1.jpg
116195,Sony Xperia 10 VII 8GB 128GB,118049,Sony Xperia 10 VII 8GB 128GB-Trắng,SON-10VII-8GB-128GB-TR,Trắng,13490000,9990000,9990000,25.95,6,/s/o/sony-xperia-10-vii-2.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/o/sony-xperia-10-vii-2.jpg
116195,Sony Xperia 10 VII 8GB 128GB,118050,Sony Xperia 10 VII 8GB 128GB-Xanh lá,SON-10VII-8GB-128GB-XL,Xanh lá,13490000,9990000,9990000,25.95,9,/s/o/sony-xperia-10-vii.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/o/sony-xperia-10-vii.jpg
90119,iPhone 16 Pro 512GB | Chính hãng VN/A,90160,iPhone 16 Pro 512GB | Chính hãng VN/A-Titan Đen,APP-IP16-PRO-VN-512GB-TI-DN-CH,Titan Đen,37990000,31990000,31990000,15.79,0,/i/p/iphone-16-pro-titan-den_2.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro-titan-den_2.png
90119,iPhone 16 Pro 512GB | Chính hãng VN/A,90161,iPhone 16 Pro 512GB | Chính hãng VN/A-Titan Trắng ,APP-IP16-PRO-VN-512GB-TI-TR-CH,Titan Trắng ,37990000,31990000,31990000,15.79,0,/i/p/iphone-16-pro-titan-trang_2.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro-titan-trang_2.png
90119,iPhone 16 Pro 512GB | Chính hãng VN/A,90162,iPhone 16 Pro 512GB | Chính hãng VN/A-Titan Tự Nhiên,APP-IP16-PRO-VN-512GB-TI-TN-CH,Titan Tự Nhiên,37990000,31990000,31990000,15.79,0,/i/p/iphone-16-pro-titan-tu-nhien_2.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro-titan-tu-nhien_2.png
90119,iPhone 16 Pro 512GB | Chính hãng VN/A,90163,iPhone 16 Pro 512GB | Chính hãng VN/A-Titan Sa Mạc,APP-IP16-PRO-VN-512GB-TI-VA-CH,Titan Sa Mạc,37990000,31990000,31990000,15.79,0,/i/p/iphone-16-pro-titan-sa-mac_2.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro-titan-sa-mac_2.png
106045,OPPO Reno14 5G 12GB 256GB,107794,OPPO Reno14 5G-Trắng,OPP-RENO14-5G-12GB-256GB-TR,Trắng,15990000,15500000,15500000,3.06,1,/d/i/dien-thoai-oppo-reno14-w_1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-oppo-reno14-w_1.jpg
106045,OPPO Reno14 5G 12GB 256GB,107795,OPPO Reno14 5G-Xanh lá,OPP-RENO14-5G-12GB-256GB-XL,Xanh lá,15990000,15500000,15500000,3.06,10,/d/i/dien-thoai-oppo-reno14-g_1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-oppo-reno14-g_1.jpg
99687,Xiaomi 15T 5G 12GB 512GB,114015, Xiaomi 15T 5G-Đen,XIA-15T-5G-12GB-512GB-DN,Đen,14990000,12390000,12390000,17.34,1,/x/i/xiaomi-15t-5g-11_1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-15t-5g-11_1.jpg
99687,Xiaomi 15T 5G 12GB 512GB,114016, Xiaomi 15T 5G-Vàng Hồng,XIA-15T-5G-12GB-512GB-VA,Vàng Hồng,14990000,12390000,12390000,17.34,0,/x/i/xiaomi-15t-5g-22_1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-15t-5g-22_1.jpg
99687,Xiaomi 15T 5G 12GB 512GB,128348,Xiaomi 15T 5G 12GB 512GB-Xám,XIA-15T-5G-12GB-512GB-XA,Xám,14990000,12390000,12390000,17.34,0,/x/i/xiaomi_15t_xam_1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi_15t_xam_1.jpg
16520,iPhone 11 64GB | Chính hãng VN/A ,16521,Apple iPhone 11 Đen Chính hãng,APP-IP11-VN-64GB-DN-CH,Đen,9990000,8490000,8490000,15.02,0,/1/1/11._d_nn.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/1/1/11._d_nn.jpg
16520,iPhone 11 64GB | Chính hãng VN/A ,18359,iPhone 11 Chính hãng Trắng,APP-IP11-VN-64GB-TR-CH,Trắng,9990000,8490000,8490000,15.02,0,/i/p/iphone11-white-select-2019_3.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone11-white-select-2019_3.png
128554,Xiaomi Redmi A7 3GB 64GB,135274,Xiaomi Redmi A7 3GB 64GB-Đen,XIA-REDA7-3GB-64GB-DN,Đen,3890000,3590000,3590000,7.71,101,/x/i/xiaomi-redmi-a7-15.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-redmi-a7-15.jpg
128554,Xiaomi Redmi A7 3GB 64GB,135275,Xiaomi Redmi A7 3GB 64GB-Tím,XIA-REDA7-3GB-64GB-TI,Tím,3890000,3590000,3590000,7.71,48,/x/i/xiaomi-redmi-a7-5.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-redmi-a7-5.jpg
128554,Xiaomi Redmi A7 3GB 64GB,135276,Xiaomi Redmi A7 3GB 64GB-Xanh dương,XIA-REDA7-3GB-64GB-XD,Xanh dương,3890000,3590000,3590000,7.71,45,/x/i/xiaomi-redmi-a7-14.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-redmi-a7-14.jpg
125131,Samsung Galaxy S26 Ultra 5G 16GB 1TB,125142,Samsung Galaxy S26 Ultra 16GB 1TB-Đen Classic,SAM-S26-ULTRA-5G-S948-16GB-1TB-DN,Đen Classic,51990000,41990000,41990000,19.23,39,/s/a/samsung-galaxy-s26-ultra-11_3.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-s26-ultra-11_3.jpg
125131,Samsung Galaxy S26 Ultra 5G 16GB 1TB,125143,Samsung Galaxy S26 Ultra 16GB 1TB-Tím Cobalt,SAM-S26-ULTRA-5G-S948-16GB-1TB-TI,Tím Cobalt,51990000,41990000,41990000,19.23,1,/s/a/samsung-galaxy-s26-ultra_3.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-s26-ultra_3.jpg
125131,Samsung Galaxy S26 Ultra 5G 16GB 1TB,125146,Samsung Galaxy S26 Ultra 16GB 1TB-Trắng Classic,SAM-S26-ULTRA-5G-S948-16GB-1TB-TR,Trắng Classic,51990000,41990000,41990000,19.23,0,/s/a/samsung-galaxy-s26-ultra-33_3.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-s26-ultra-33_3.jpg
120157,OPPO A6 Pro 8GB 128GB,120163,OPPO A6 Pro 8GB 128GB-Hồng,OPP-A6-PRO-8GB-128GB-HO,Hồng,8290000,0,8290000,0.0,0,/o/p/oppo-a6-pro.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/o/p/oppo-a6-pro.jpg
120157,OPPO A6 Pro 8GB 128GB,120164,OPPO A6 Pro 8GB 128GB-Xám,OPP-A6-PRO-8GB-128GB-XA,Xám,8290000,0,8290000,0.0,0,/o/p/oppo-a6-pro-1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/o/p/oppo-a6-pro-1.jpg
